transaction_number,id_customer,transaction_date,id_subcategory,id_category,quantity,rate,tax,total_amount,id_store_type,id_store,id_product_category
80712190438,270351,2014-02-28,1,1,-5,-772,405.3,-4265.3,1,3,1-1
29258453508,270384,2014-02-27,5,3,-5,-1497,785.925,-8270.925,1,1,3-5
51750724947,273420,2014-02-24,6,5,-2,-791,166.11,-1748.11,2,5,5-6
93274880719,271509,2014-02-24,11,6,-3,-1363,429.345,-4518.345,1,5,6-11
51750724947,273420,2014-02-23,6,5,-2,-791,166.11,-1748.11,2,4,5-6
97439039119,272357,2014-02-23,8,3,-2,-824,173.04,-1821.04,2,4,3-8
45649838090,273667,2014-02-22,11,6,-1,-1450,152.25,-1602.25,1,5,6-11
22643667930,271489,2014-02-22,12,6,-1,-1225,128.625,-1353.625,2,2,6-12
79792372943,275108,2014-02-22,3,1,-3,-908,286.02,-3010.02,3,2,1-3
50076728598,269014,2014-02-21,8,3,-4,-581,244.02,-2568.02,1,4,3-8
29258453508,270384,2014-02-20,5,3,5,1497,785.925,8270.925,1,1,3-5
25455265351,267750,2014-02-20,12,6,3,1360,428.4,4508.4,1,3,6-12
1571002198,275023,2014-02-20,6,5,4,587,246.54,2594.54,1,4,5-6
43134751727,268487,2014-02-20,3,2,-1,-611,64.155,-675.155,1,5,2-3
36554696014,269345,2014-02-20,3,5,3,1253,394.695,4153.695,1,2,5-3
56814940239,268799,2014-02-20,7,5,5,368,193.2,2033.2,1,4,5-7
54295803788,270787,2014-02-20,12,5,5,584,306.6,3226.6,1,4,5-12
25963520987,274829,2014-02-20,4,4,3,502,158.13,1664.13,4,4,4-4
17183929085,266863,2014-02-20,1,2,1,1359,142.695,1501.695,2,2,2-1
44783317894,269452,2014-02-20,3,1,3,825,259.875,2734.875,2,1,1-3
58957828601,269009,2014-02-20,11,5,4,846,355.32,3739.32,2,2,5-11
9647515879,268934,2014-02-20,7,5,3,1384,435.96,4587.96,2,4,5-7
20781077773,269223,2014-02-20,5,3,3,1203,378.945,3987.945,2,1,3-5
91116291703,268509,2014-02-20,1,2,4,1243,522.06,5494.06,3,3,2-1
68325723297,268516,2014-02-20,9,3,1,877,92.085,969.085,1,4,3-9
73235813024,268774,2014-02-20,3,5,1,76,7.98,83.98,2,3,5-3
80712190438,270351,2014-02-20,1,1,5,772,405.3,4265.3,1,4,1-1
66989395597,272785,2014-02-20,10,3,2,474,99.54,1047.54,2,4,3-10
88853694830,268444,2014-02-20,4,4,-3,-80,25.2,-265.2,3,4,4-4
99581788104,267466,2014-02-20,3,2,1,96,10.08,106.08,4,5,2-3
28396777609,269101,2014-02-19,4,1,4,1386,582.12,6126.12,2,5,1-4
22391667321,270842,2014-02-19,1,2,5,723,379.575,3994.575,3,5,2-1
51075317246,274987,2014-02-19,10,6,5,374,196.35,2066.35,3,4,6-10
16199275450,275139,2014-02-19,4,2,1,173,18.165,191.165,3,2,2-4
22698449434,269136,2014-02-19,7,5,5,189,99.225,1044.225,2,4,5-7
13167171971,275149,2014-02-19,4,3,4,804,337.68,3553.68,3,3,3-4
32130400636,269772,2014-02-19,12,6,3,229,72.135,759.135,1,3,6-12
31384765864,267058,2014-02-19,3,2,1,793,83.265,876.265,1,1,2-3
85894118953,271817,2014-02-19,3,2,3,1401,441.315,4644.315,1,2,2-3
63407734630,271322,2014-02-19,3,2,5,1360,714.0,7514.0,4,2,2-3
90740728864,268229,2014-02-19,4,2,5,984,516.6,5436.6,2,5,2-4
82750983847,267544,2014-02-19,3,5,1,805,84.525,889.525,4,4,5-3
67328698675,268755,2014-02-19,3,2,1,1018,106.89,1124.89,4,5,2-3
80381707658,269407,2014-02-19,6,5,5,573,300.825,3165.825,1,3,5-6
78709566028,273023,2014-02-19,10,6,2,1052,220.92,2324.92,1,2,6-10
67079812295,271818,2014-02-19,10,3,2,1408,295.68,3111.68,3,1,3-10
72427583709,268129,2014-02-19,4,4,1,885,92.925,977.925,4,3,4-4
14259136777,274477,2014-02-18,10,3,1,1489,156.345,1645.345,2,5,3-10
7313351894,267568,2014-02-18,2,6,4,481,202.02,2126.02,4,4,6-2
37745642681,267098,2014-02-18,1,2,1,109,11.445,120.445,4,1,2-1
13861409908,271608,2014-02-18,1,2,2,1352,283.92,2987.92,3,3,2-1
58956348529,272484,2014-02-18,4,1,4,1443,606.06,6378.06,2,5,1-4
58886320392,268715,2014-02-18,10,6,2,768,161.28,1697.28,4,5,6-10
53081075361,273250,2014-02-18,11,6,5,1345,706.125,7431.125,4,2,6-11
10017543415,267097,2014-02-18,3,5,1,164,17.22,181.22,4,3,5-3
34065279733,274562,2014-02-18,6,5,2,280,58.8,618.8,1,1,5-6
58223423237,268138,2014-02-18,6,5,-3,-1398,440.37,-4634.37,1,1,5-6
74085729167,268492,2014-02-18,3,5,3,433,136.395,1435.395,1,1,5-3
83498320600,273359,2014-02-18,4,1,4,861,361.62,3805.62,1,2,1-4
83313344780,271288,2014-02-18,4,3,2,84,17.64,185.64,4,3,3-4
96923177403,270778,2014-02-18,11,6,5,1111,583.275,6138.275,3,1,6-11
78091789730,271030,2014-02-18,4,1,1,380,39.9,419.9,1,1,1-4
84466140532,274426,2014-02-18,6,5,5,423,222.075,2337.075,1,1,5-6
59232461135,269019,2014-02-17,4,2,2,479,100.59,1058.59,4,2,2-4
58223423237,268138,2014-02-17,6,5,3,1398,440.37,4634.37,1,2,5-6
60560888204,271250,2014-02-17,10,6,2,707,148.47,1562.47,4,5,6-10
22643667930,271489,2014-02-17,12,6,1,1225,128.625,1353.625,2,2,6-12
12161898302,274402,2014-02-17,1,2,-1,-891,93.555,-984.555,2,5,2-1
43561027610,270244,2014-02-17,8,3,1,728,76.44,804.44,1,1,3-8
40604748560,269387,2014-02-17,6,5,5,760,399.0,4199.0,4,1,5-6
8868056339,268145,2014-02-17,2,6,-2,-152,31.92,-335.92,1,3,6-2
78600072636,273067,2014-02-17,9,3,3,446,140.49,1478.49,2,4,3-9
