id_product_category,id_category,category,id_subcategory,subcategory
1-4,1,Clothing,4,Mens
1-1,1,Clothing,1,Women
1-3,1,Clothing,3,Kids
2-1,2,Footwear,1,Mens
2-3,2,Footwear,3,Women
2-4,2,Footwear,4,Kids
3-4,3,Electronics,4,Mobiles
3-5,3,Electronics,5,Computers
3-8,3,Electronics,8,Personal Appliances
3-9,3,Electronics,9,Cameras
3-10,3,Electronics,10,Audio and video
4-1,4,Bags,1,Mens
4-4,4,Bags,4,Women
5-7,5,Books,7,Fiction
5-12,5,Books,12,Academic
5-10,5,Books,10,Non-Fiction
5-11,5,Books,11,Children
5-3,5,Books,3,Comics
5-6,5,Books,6,DIY
6-2,6,Home and kitchen,2,Furnishing
6-10,6,Home and kitchen,10,Kitchen
6-11,6,Home and kitchen,11,Bath
6-12,6,Home and kitchen,12,Tools
