transaction_number,transaction_type,id_customer,transaction_date,id_subcategory,id_category,quantity,rate,tax,total_amount,id_store_type,id_store,id_product_category
80712190438,R,270351,2014-02-28,1,1,-5,-772,405.3,-4265.3,1,3,1-1
29258453508,R,270384,2014-02-27,5,3,-5,-1497,785.925,-8270.925,1,1,3-5
51750724947,R,273420,2014-02-24,6,5,-2,-791,166.11,-1748.11,2,5,5-6
93274880719,R,271509,2014-02-24,11,6,-3,-1363,429.345,-4518.345,1,5,6-11
51750724947,R,273420,2014-02-23,6,5,-2,-791,166.11,-1748.11,2,4,5-6
97439039119,R,272357,2014-02-23,8,3,-2,-824,173.04,-1821.04,2,4,3-8
45649838090,R,273667,2014-02-22,11,6,-1,-1450,152.25,-1602.25,1,5,6-11
22643667930,R,271489,2014-02-22,12,6,-1,-1225,128.625,-1353.625,2,2,6-12
79792372943,R,275108,2014-02-22,3,1,-3,-908,286.02,-3010.02,3,2,1-3
50076728598,R,269014,2014-02-21,8,3,-4,-581,244.02,-2568.02,1,4,3-8
29258453508,P,270384,2014-02-20,5,3,5,1497,785.925,8270.925,1,1,3-5
25455265351,P,267750,2014-02-20,12,6,3,1360,428.4,4508.4,1,3,6-12
1571002198,P,275023,2014-02-20,6,5,4,587,246.54,2594.54,1,4,5-6
43134751727,R,268487,2014-02-20,3,2,-1,-611,64.155,-675.155,1,5,2-3
36554696014,P,269345,2014-02-20,3,5,3,1253,394.695,4153.695,1,2,5-3
56814940239,P,268799,2014-02-20,7,5,5,368,193.2,2033.2,1,4,5-7
54295803788,P,270787,2014-02-20,12,5,5,584,306.6,3226.6,1,4,5-12
25963520987,P,274829,2014-02-20,4,4,3,502,158.13,1664.13,4,4,4-4
17183929085,P,266863,2014-02-20,1,2,1,1359,142.695,1501.695,2,2,2-1
44783317894,P,269452,2014-02-20,3,1,3,825,259.875,2734.875,2,1,1-3
58957828601,P,269009,2014-02-20,11,5,4,846,355.32,3739.32,2,2,5-11
9647515879,P,268934,2014-02-20,7,5,3,1384,435.96,4587.96,2,4,5-7
20781077773,P,269223,2014-02-20,5,3,3,1203,378.945,3987.945,2,1,3-5
91116291703,P,268509,2014-02-20,1,2,4,1243,522.06,5494.06,3,3,2-1
